,ebird code,Scientific Name,Common Name
51,bbspet1,Fregetta tropica,Black-bellied Storm-petrel
52,litgre1,Tachybaptus ruficollis,Little Grebe
53,grcgre1,Podiceps cristatus,Great Crested Grebe
54,eargre,Podiceps nigricollis,Black-necked Grebe
55,grefla3,Phoenicopterus roseus,Greater Flamingo
56,lesfla1,Phoeniconaias minor,Lesser Flamingo
57,yebsto1,Mycteria ibis,Yellow-billed Stork
58,afrope1,Anastomus lamelligerus,African Open-billed Stork
59,blasto1,Ciconia nigra,Black Stork
60,abdsto1,Ciconia abdimii,Abdim's Stork
61,wonsto1,Ciconia episcopus,Woolly-necked Stork
62,whisto1,Ciconia ciconia,White Stork
63,sabsto1,Ephippiorhynchus senegalensis,Saddle-billed Stork
64,marsto1,Leptoptilos crumeniferus,Marabou Stork
65,sacibi2,Threskiornis aethiopicus,Sacred Ibis
66,oliibi2,Bostrychia olivacea,Olive Ibis
67,hadibi1,Bostrychia hagedash,Hadada Ibis
68,gloibi,Plegadis falcinellus,Glossy Ibis
69,eurspo1,Platalea leucorodia,Eurasian Spoonbill
70,afrspo1,Platalea alba,African Spoonbill
71,litbit1,Ixobrychus minutus,Little Bittern
72,dwabit1,Ixobrychus sturmii,Dwarf Bittern
73,wbnher1,Gorsachius leuconotus,White-backed Night Heron
74,bcnher,Nycticorax nycticorax,Black-crowned Night Heron
75,strher,Butorides striata,Striated Heron
76,squher1,Ardeola ralloides,Squacco Heron
77,mapher1,Ardeola idae,Madagascar Pond Heron
78,rubher2,Ardeola rufiventris,Rufous-bellied Heron
79,categr1,Bubulcus ibis,Cattle Egret
80,graher1,Ardea cinerea,Grey Heron
81,blhher1,Ardea melanocephala,Black-headed Heron
82,golher1,Ardea goliath,Goliath Heron
83,purher1,Ardea purpurea,Purple Heron
84,greegr,Ardea alba,Great White Egret
85,integr3,Egretta intermedia,Yellow-billed Egret
86,blaher1,Egretta ardesiaca,Black Heron
87,litegr,Egretta garzetta,Little Egret
88,werher,Egretta gularis,Western Reef Heron
89,whttro,Phaethon lepturus,White-tailed Tropicbird
90,grefri,Fregata minor,Greater Frigatebird
91,lesfri,Fregata ariel,Lesser Frigatebird
92,hamerk1,Scopus umbretta,Hamerkop
93,shoebi1,Balaeniceps rex,Shoebill
94,grwpel1,Pelecanus onocrotalus,Great White Pelican
95,pibpel1,Pelecanus rufescens,Pink-backed Pelican
96,masboo,Sula dactylatra,Masked Booby
97,refboo,Sula sula,Red-footed Booby
98,brnboo,Sula leucogaster,Brown Booby
99,grecor,Phalacrocorax carbo,Great Cormorant
100,darter3,Anhinga rufa,African Darter
101,pygfal1,Polihierax semitorquatus,Pygmy Falcon
102,leskes1,Falco naumanni,Lesser Kestrel
103,eurkes,Falco tinnunculus,Common Kestrel
104,grekes1,Falco rupicoloides,Greater Kestrel
105,foxkes1,Falco alopex,Fox Kestrel
106,grykes1,Falco ardosiaceus,Grey Kestrel
107,dickes1,Falco dickinsoni,Dickinson's Kestrel
108,renfal1,Falco chiquera,Red-necked Falcon
109,reffal1,Falco vespertinus,Red-footed Falcon
110,amufal1,Falco amurensis,Amur Falcon
111,elefal1,Falco eleonorae,Eleonora's Falcon
112,soofal1,Falco concolor,Sooty Falcon
113,eurhob,Falco subbuteo,Eurasian Hobby
114,afrhob1,Falco cuvieri,African Hobby
115,lanfal1,Falco biarmicus,Lanner Falcon
116,sakfal1,Falco cherrug,Saker Falcon
117,perfal,Falco peregrinus,Peregrine Falcon
